AOI ID,Location,Operations,Crop,LAAR Status 2026-2027,Season,Station,Province,Region,Latitude,Longitude,Planting Date (MM/DD/YYYY),Plant Density (plants/ha),Fertilization,Area ( Ha),Field Testing Specialist,Seed Product Agronomist,Site Type,Description,Visible
AARY07FACEVN,Acevedo,Contractor,Canola,R5,Early,XL,Buenos Aires,Nucleo,-33.788167,-60.474803,05/06/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Romero Cuny,Mazzini,Trial,,Yes
AARY07FAMERN,America,Contractor,Canola,R5,Early,XL,Buenos Aires,Oeste,-35.623215,-63.267577,05/13/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Antunes,Peralta Martinez,Trial,,Yes
AARY07FBAL1N,Balcarce,Contractor,Canola,R5,Early,XL,Buenos Aires,Sudeste,-37.897019,-58.305969,06/02/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Cantero,Sarlangue,Trial,,Yes
AARY07FBAL2N,Balcarce 2,Contractor,Canola,R5,Early,XL,Buenos Aires,Sudeste,-37.896932,-58.305857,07/01/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Cantero,Sarlangue,Trial,,Yes
AARY07FFERRN,Ferre,Contractor,Canola,R5,Early,XL,Buenos Aires,Nucleo,-34.116495,-61.21737,05/05/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Romero Cuny,Mazzini,Trial,,Yes
AARY07NGUAYN,Gualeguay,Contractor,Canola,R5,Early,XL,Entre Ríos,Litoral,-33.029433,-59.308572,05/27/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Vilchez,Bernardi,Trial,,Yes
AARY07NMJUAN,Marcos Juarez,Contractor,Canola,R5,Early,XL,Córdoba,Nucleo,-32.725708,-61.899707,06/11/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Perassi,Paz,Trial,,Yes
AARY07FRAN1N,Rancagua 1,Contractor,Canola,R5,Early,XL,Buenos Aires,Nucleo,-34.005973,-60.511216,05/05/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Romero Cuny,Mazzini,Trial,,Yes
AARY07FRAN2N,Rancagua 2,Contractor,Canola,R5,Early,XL,Buenos Aires,Nucleo,-34.006199,-60.511431,06/02/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Romero Cuny,Mazzini,Trial,,Yes
AARY07FRNO1N,Rincon de Nogoya,Contractor,Canola,R5,Early,XL,Entre Ríos,Litoral,-32.8466487,-59.787684,05/27/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Vilchez,Bernardi,Trial,,Yes
AARY07FRNO2N,Rincon de Nogoya 2,Contractor,Canola,R5,Early,XL,Entre Ríos,Litoral,-32.846636,-59.789126,06/19/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Vilchez,Bernardi,Trial,,Yes
AARY07FSEDUN,San Eduardo,Contractor,Canola,R5,Early,XL,Santa Fe,Nucleo,-33.854872,-62.044108,05/11/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Perassi,Paz,Trial,,Yes
AARY07FSJUSN,San Justo,Contractor,Canola,R5,Early,XL,Santa Fe,Centro,-30.824775,-60.555824,05/20/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Arias,Traggiay,Trial,,Yes
AARY07FVMARN,Villa Maria,Contractor,Canola,R5,Early,XL,Córdoba,Centro,-32.460934,-63.329433,05/06/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.032,Gomez,Open Rio IV,Trial,,Yes
AARB07FBALCN,Balcarce,Contractor,Canola - Parent Chr,PC,Early,XL,Buenos Aires,Sudeste,-37.896932,-58.305857,07/01/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.028,Cantero,Sarlangue,Trial,,Yes
AARB07FFERCN,Ferre,Contractor,Canola - Parent Chr,PC,Early,XL,Buenos Aires,Nucleo,-34.116495,-61.21737,05/05/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.028,Romero Cuny,Mazzini,Trial,,Yes
AARB07FRAN1N,Rancagua 1,Contractor,Canola - Parent Chr,PC,Early,XL,Buenos Aires,Nucleo,-34.005973,-60.511216,05/01/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.028,Romero Cuny,Mazzini,Trial,,Yes
AARB07FRAN2N,Rancagua 2,Contractor,Canola - Parent Chr,PC,Early,XL,Buenos Aires,Nucleo,-34.005973,-60.511216,05/29/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.028,Romero Cuny,Mazzini,Trial,,Yes
AARB07FRNOGN,Rincon de Nogoya,Contractor,Canola - Parent Chr,PC,Early,XL,Entre Ríos,Litoral,-32.846661,-59.793251,05/14/2026,,60 kg MAP + 150 kg UREA + 100 kg Sulfato Amonio,0.028,Vilchez,Bernardi,Trial,,Yes
AACY04NALCOT,Alcorta,SPD,Corn,IMPACT 3R,Early,AA,Santa Fe,Nucleo,-33.54594,-61.06553,,,Estandar,0.1968,Vilchez,Mazzini,Trial,,Yes
AACY04NAMG1T,Ameghino,SPD,Corn,IMPACT 3R,Early,AA,Buenos Aires,Oeste,-34.98381,-62.83995,,,Estandar,0.1968,Antunes,Peralta Martinez,Trial,,Yes
AACY04NAMERT,America,SPD,Corn,IMPACT 3R; R3; R2; OGCA; HYPER,Early,AA,Buenos Aires,Oeste,-35.58085,-63.04017,,,Alta,2.295,Antunes,Peralta Martinez,Trial,,Yes
AACY04NARR1T,Arrecifes,SPD,Corn,IMPACT 3R,Early,AA,Buenos Aires,Nucleo,-34.03569,-60.10762,,,Estandar,0.1968,Romero Cuny,Mazzini,Trial,,Yes
ACCY04NCARNT,Carnerillo,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AC,Córdoba,Oeste,-32.92824,-63.91633,,,Estandar,2.2338,Gomez,Open Rio IV,Trial,,Yes
ACCB02FMRC1T,Chajan MRCV 1,SPD,Corn,OGCA+ Obs,Early,AC,Córdoba,Oeste,-33.538142,-64.937487,,,Estandar,0,Milani,Open Rio IV,Trial,,Yes
ACCB02FMRC2T,Chajan MRCV 2,SPD,Corn,OGCA+ Obs,Early,AC,Córdoba,Oeste,-33.538142,-64.937487,,,Estandar,0,Milani,Open Rio IV,Trial,,Yes
ACCY04NCHA1T,Chazon ,SPD,Corn,IMPACT 3R,Early,AC,Córdoba,Oeste,-33.07967,-63.27564,,,Baja,0.1968,Gomez,Open Rio IV,Trial,,Yes
AACY04NCHIVT,Chivilcoy,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Buenos Aires,Nucleo,-34.91289,-60.16339,,,Ultra Baja,2.2338,Romero Cuny,Mazzini,Trial,,Yes
AACY04NCURUT,Concepcion del Uruguay,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AA,Entre Ríos,Litoral,-32.60396,-58.49425,,,Estandar,2.2338,Vilchez,Bernardi,Trial,,Yes
ACCY04NCMOLT,Coronel Moldes,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AC,Córdoba,Oeste,-33.44234,-64.72549,,,Estandar,2.2338,Milani,Open Rio IV,Trial,,Yes
ACCY04NELT1T,El Trebol,SPD,Corn,IMPACT 3R,Early,AC,Santa Fe,Centro,-32.17142,-61.77275,,,Alta,0.1968,Arias,Traggiay,Trial,,Yes
AACY04NFER1T,Ferre,SPD,Corn,IMPACT 3R,Early,AA,Buenos Aires,Nucleo,-34.16297,-61.10358,,,Alta,0.1968,Romero Cuny,Mazzini,Trial,,Yes
ACCY04NGAL1T,Galvez,SPD,Corn,IMPACT 3R; R3; R2; OGCA,Early,AC,Santa Fe,Centro,-31.95512,-61.16025,,,Estandar,2.2338,Arias,Traggiay,Trial,,Yes
AACY04NGARRT,Garre,SPD,Corn,IMPACT 3R,Early,AA,Buenos Aires,Oeste,-36.50101,-62.60687,,,Alta,0.1968,Focke,Peralta Martinez,Trial,,Yes
AACY04NGUALT,Gualeguay,Contractor,Corn,IMPACT 3R,Early,XL,Entre Ríos,Litoral,-33.05755,-59.29615,,,Baja,0.1968,Vilchez,Bernardi,Trial,,Yes
AACY04NBALCT / AACY04NBA1HT,Balcarce,Mixed,Corn,IMPACT 3R; R3; HYPER,Early,AA,Buenos Aires,Sudeste,-37.86049,-58.02404,,,Baja,1.064,Cantero,Sarlangue,Trial,,Yes
